N0,Food commodity,Pricing Type,Currency,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD'24,YTD'25,Change (%)
1,Mixed Rice (kg),Retail,KHR,2637,2663,2651,2543,2481,2453,2648,2589,2597,2584.6666666666665,2114,2183,2112,1950,1928,1843,1952,2099,1916,2010.7777777777778,25846.666666666668,20107.777777777777,-0.22203593844037495
2,Snakehead fish (Live) (kg),Retail,KHR,10350,10082,10751,9591,9636,9333,10500,10135,10724,10122.444444444445,10211,10321,10317,9006,9207,8949,10088,10267,10266,9848.0,101224.44444444444,98480.0,-0.027112467344295288
3,Trey Pra (Live) (kg),Retail,KHR,7036,7190,7060,6650,6572,6102,7115,7385,7393,6944.777777777777,6958,7173,7417,6231,6604,6386,7012,7649,7454,6987.111111111111,69447.77777777778,69871.11111111111,0.0060957074060443706
4,Cat-fish (Live) (kg),Retail,KHR,6925,7648,7955,7196,7174,6429,7692,7615,7622,7361.777777777777,7556,7864,7944,7356,7758,7347,8061,8683,8343,7879.111111111111,73617.77777777778,78791.11111111111,0.07027288094663109
5,Trey Por (kg),Retail,KHR,10725,9479,10071,8778,9729,8433,10432,10182,9212,9671.222222222223,10333,9818,10500,8972,9030,8624,9897,10675,10479,9814.222222222223,96712.22222222222,98142.22222222222,0.014786135269585499
6,Red Tailed Catfish (kg),Retail,KHR,-,22000,-,0,0,0,0,0,0,22000.0,20000,-,25000,30000,30000,38000,0,0,0,28600.0,44000.0,171600.0,2.9
7,Trey Sandai (kg),Retail,KHR,-,36500,-,25000,23000,0,0,0,0,28166.666666666668,-,-,25000,30000,35000,39000,20000,20000,20000,27000.0,112666.66666666667,216000.0,0.9171597633136095
8,Pork with fat (kg),Retail,KHR,14458,16176,16967,15193,14685,14804,15972,15798,15444,15499.666666666666,17275,18656,18389,16833,16263,15912,16324,16025,15470,16794.11111111111,154996.66666666666,167941.11111111112,0.08351434081019682
9,Pork ribs (kg),Retail,KHR,14492,16049,16750,15167,14676,14990,16000,15905,15784,15534.777777777777,17147,18240,18380,16815,16242,15889,16333,16012,15432,16721.11111111111,155347.77777777778,167211.11111111112,0.07636628925779432
10,Pork bone (kg),Retail,KHR,11717,13245,13608,12373,11667,11740,12852,12833,12521,12506.222222222223,13716,14583,14546,13241,12496,12398,13037,12611,11992,13180.0,125062.22222222222,131800.0,0.05387540424322124
11,Pork legs (kg),Retail,KHR,11167,13302,13623,12384,11787,11865,13130,13012,12854,12569.333333333334,13873,14802,14806,13389,12898,12731,13565,12907,12142,13457.0,125693.33333333333,134570.0,0.0706216187546409
12,Beef with fat (kg),Retail,KHR,15423,13917,13233,11796,11905,11909,13318,13400,13778,13186.555555555555,12833,13750,15000,14000,11318,13182,15643,15842,15262,14092.222222222223,131865.55555555556,140922.22222222222,0.06868106404671415
13,Chicken meat (CP) (kg),Retail,KHR,15208,14000,14722,12333,12646,13313,13857,14375,14450,13878.222222222223,13667,15700,13875,12188,13610,13818,15569,15644,15269,14371.111111111111,138782.22222222222,143711.11111111112,0.03551527573176205
14,Duck egg (10 eggs),Retail,KHR,4843,4706,5269,5447,4918,4618,4985,5141,5025,4994.666666666667,4725,4635,5007,5163,5077,4683,4929,5467,5348,5003.777777777777,49946.666666666664,50037.77777777778,0.0018241680014239314
15,Vegetable Oil (5 litters),Retail,KHR,25158,25904,26556,25374,25326,24950,26140,26894,28062,26040.444444444445,29529,29196,29139,28083,28302,28022,28679,28265,28453,28629.777777777777,260404.44444444444,286297.77777777775,0.09943506681913594
16,Iodized salt (kg),Retail,KHR,1321,1289,1376,1060,1001,1055,1321,1354,1354,1236.7777777777778,1310,1344,1400,1098,1097,1110,1257,1519,1395,1281.111111111111,12367.777777777777,12811.111111111111,0.0358458359536431
17,Ground Nut (kg),Retail,KHR,9955,10177,10214,9189,8975,8906,9922,10077,10178,9732.555555555555,9844,9833,10250,9141,8957,8639,10417,9514,9554,9572.111111111111,97325.55555555556,95721.11111111111,-0.01648533558617704
18,Morning glory (kg),Retail,KHR,2978,3089,3218,2738,2225,2713,3250,3875,3496,3064.6666666666665,3000,2583,3153,2838,2493,2227,3429,4033,3751,3056.3333333333335,30646.666666666668,30563.333333333332,-0.002719164672612684
19,Carrot (kg),Retail,KHR,3283,3431,3250,3177,3030,2951,3917,3875,4028,3438.0,3083,3038,3306,2803,2456,2554,3769,3611,3657,3141.8888888888887,34380.0,31418.88888888889,-0.08612888630340632
20,Ivy gourd leave (kg),Retail,KHR,4694,4764,5500,4271,3083,3500,4667,5042,4940,4495.666666666667,5393,4250,5094,3898,4185,3944,5361,5357,5725,4800.777777777777,44956.666666666664,48007.77777777778,0.06786782333605212
21,Moringa leaves (kg),Retail,KHR,5000,5060,5043,4667,4550,3050,6250,5600,5529,4972.111111111111,5313,4250,4325,4208,3050,3800,4650,4750,5833,4464.333333333333,49721.11111111111,44643.333333333336,-0.10212518715502017
22,Chinese spinach (kg),Retail,KHR,3868,4096,5154,3189,2896,3226,4596,4792,4808,4069.4444444444443,3792,3124,5208,3896,2806,2729,5192,5568,5551,4207.333333333333,40694.444444444445,42073.333333333336,0.033883959044368694
23,Pak Choi (kg),Retail,KHR,3736,3959,5250,3015,3097,3152,4327,4411,4660,3956.3333333333335,3923,3100,4915,3871,2868,2788,5096,5145,5074,4086.6666666666665,39563.333333333336,40866.666666666664,0.032942960653803866
24,Chinese flowering cabbage (kg),Retail,KHR,3625,3719,5036,2981,2671,3103,4154,4292,4231,3756.8888888888887,3786,3114,4785,3482,2710,2625,4538,4823,5208,3896.777777777778,37568.88888888889,38967.77777777778,0.03723530107654094
25,Mustard Greens (kg),Retail,KHR,3800,3639,5222,2917,2852,2992,4333,3962,4235,3772.4444444444443,3646,3389,4462,3510,2751,2768,4479,4540,4769,3812.6666666666665,37724.444444444445,38126.666666666664,0.010662111215834047
26,Amaranthus (kg),Retail,KHR,3760,3742,4833,3556,3315,2972,3672,4000,4788,3848.6666666666665,3875,3545,5146,3248,3033,2875,4125,5150,5560,4061.8888888888887,38486.666666666664,40618.88888888889,0.055401582077487355
27,Ngob leaves (kg),Retail,KHR,5000,6625,7855,5145,4511,3750,4860,6400,4175,5369.0,5625,3500,6000,4275,4167,4500,5700,6028,8278,5341.444444444444,53690.0,53414.444444444445,-0.005132344115394982
28,Pumpkin leaves (kg),Retail,KHR,5544,4954,5938,4460,4429,3600,5400,5310,5033,4963.111111111111,5160,4583,4786,3650,4438,4500,4883,4500,7667,4907.444444444444,49631.11111111111,49074.444444444445,-0.011216083101996954
29,Pumpkin fruit (kg),Retail,KHR,2250,2583,3158,2585,2407,1460,2154,2061,2514,2352.4444444444443,2304,2117,2165,1443,1264,1245,2227,2678,2776,2024.3333333333333,23524.444444444445,20243.333333333332,-0.13947666729642938
30,Bottle gourd (kg),Retail,KHR,2250,2500,3650,2300,1875,1100,1400,0,2000,2134.375,-,-,2500,1250,-,2000,0,1750,2000,1900.0,19209.375,11400.0,-0.406539775500244
31,Wax gourd (kg),Retail,KHR,2583,2933,3839,2578,2374,1850,2333,2240,2154,2542.6666666666665,2333,1900,2342,2668,2633,2088,2154,2344,3107,2396.5555555555557,25426.666666666668,23965.555555555555,-0.05746373011711248
32,Long eggplants (kg),Retail,KHR,2892,3313,3568,2375,2608,2409,3258,3068,3425,2990.6666666666665,3038,2438,3182,2900,2569,2400,3288,3552,4676,3115.8888888888887,29906.666666666668,31158.88888888889,0.04187100609303007
